backend,collection_episodes,collection_success_rate,collection_transitions,contextual_hypothesis,episodes,episodes_to_convergence,evaluation_game,evaluation_mean_reward,evaluation_mean_steps,evaluation_reward_spread,evaluation_success_rate,experiment,hypothesis_rules,hypothesis_size_chars,induction_calls,induction_seconds,planner_hypothesis,planner_plan_steps,protocol_note,runtime_seconds,seed,steps_per_episode,training_game
popper,100,0.96,10202,"transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).",100,1,aaa_small,4.0,7,0.0,1,baseline,8,509,5,9.294885919080116,"state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
",7,"Popper collects transitions incrementally and re-induces only when the current hypothesis fails the observed CDPI coverage check; this remains a Popper replacement, not a claim of exact ILASP call-for-call equivalence.",58.77316284697736,0,250,aaa_small
popper,100,0.92,10544,"transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).",100,2,aaa_small,4.0,7,0.0,1,baseline,8,509,5,4.420337649935391,"state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
",7,"Popper collects transitions incrementally and re-induces only when the current hypothesis fails the observed CDPI coverage check; this remains a Popper replacement, not a claim of exact ILASP call-for-call equivalence.",53.089894260047004,1,250,aaa_small
popper,100,0.96,10303,"transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).",100,1,aaa_small,4.0,7,0.0,1,baseline,8,509,5,5.5056973220198415,"state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
",7,"Popper collects transitions incrementally and re-induces only when the current hypothesis fails the observed CDPI coverage check; this remains a Popper replacement, not a claim of exact ILASP call-for-call equivalence.",51.05456362501718,2,250,aaa_small
popper,100,0.92,10747,"transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).",100,1,aaa_small,4.0,7,0.0,1,baseline,8,509,5,4.4560125630232506,"state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
",7,"Popper collects transitions incrementally and re-induces only when the current hypothesis fails the observed CDPI coverage check; this remains a Popper replacement, not a claim of exact ILASP call-for-call equivalence.",52.19938301097136,3,250,aaa_small
popper,100,0.91,11455,"transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).",100,1,aaa_small,4.0,7,0.0,1,baseline,8,509,5,6.5631101410253905,"state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
",7,"Popper collects transitions incrementally and re-induces only when the current hypothesis fails the observed CDPI coverage check; this remains a Popper replacement, not a claim of exact ILASP call-for-call equivalence.",59.15481780900154,4,250,aaa_small
popper,100,0.88,11235,"transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).",100,1,aaa_small,4.0,7,0.0,1,baseline,8,509,5,5.812587394088041,"state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
",7,"Popper collects transitions incrementally and re-induces only when the current hypothesis fails the observed CDPI coverage check; this remains a Popper replacement, not a claim of exact ILASP call-for-call equivalence.",52.17281116702361,5,250,aaa_small
popper,100,0.93,10056,"transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).",100,1,aaa_small,4.0,7,0.0,1,baseline,8,509,5,6.259559712023474,"state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
",7,"Popper collects transitions incrementally and re-induces only when the current hypothesis fails the observed CDPI coverage check; this remains a Popper replacement, not a claim of exact ILASP call-for-call equivalence.",53.921228318009526,6,250,aaa_small
popper,100,0.93,10912,"transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).",100,1,aaa_small,4.0,7,0.0,1,baseline,8,509,5,6.39877620403422,"state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
",7,"Popper collects transitions incrementally and re-induces only when the current hypothesis fails the observed CDPI coverage check; this remains a Popper replacement, not a claim of exact ILASP call-for-call equivalence.",54.572728450002614,7,250,aaa_small
popper,100,0.91,9721,"transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).",100,2,aaa_small,4.0,7,0.0,1,baseline,8,509,5,5.19643874198664,"state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
",7,"Popper collects transitions incrementally and re-induces only when the current hypothesis fails the observed CDPI coverage check; this remains a Popper replacement, not a claim of exact ILASP call-for-call equivalence.",48.74285611201776,8,250,aaa_small
popper,100,0.9,10111,"transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).",100,1,aaa_small,4.0,7,0.0,1,baseline,8,509,4,4.530896183976438,"state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
",7,"Popper collects transitions incrementally and re-induces only when the current hypothesis fails the observed CDPI coverage check; this remains a Popper replacement, not a claim of exact ILASP call-for-call equivalence.",50.72749382996699,9,250,aaa_small
